Rank,PlayerName,Team,FantasyPoints,Posted,Notes
1,Ja'Marr Chase,CIN,276,False,
2,Justin Jefferson,MIN,214,False,
3,Amon-Ra St. Brown,DET,201,False,
4,Brian Thomas,JAX,197,False,
5,Terry McLaurin,WAS,186,False,
6,Drake London,ATL,181,False,
7,Mike Evans,TAM,166,False,
8,Malik Nabers,NYG,165,False,
9,CeeDee Lamb,DAL,162,False,
10,Courtland Sutton,DEN,159,False,
11,Ladd McConkey,LAC,159,False,
12,Davante Adams,2TM,156,False,
13,Jameson Williams,DET,154,False,
14,Jaxon Smith-Njigba,SEA,153,False,
15,Jerry Jeudy,CLE,151,False,
16,Garrett Wilson,NYJ,151,False,
17,Jordan Addison,MIN,150,False,
18,A.J. Brown,PHI,150,False,
19,Tee Higgins,CIN,149,False,
20,Nico Collins,HOU,143,False,
21,Jayden Reed,GNB,142,False,
22,D.J. Moore,CHI,140,False,
23,Tyreek Hill,MIA,137,False,
24,Zay Flowers,BAL,136,False,
25,Calvin Ridley,TEN,135,False,
26,Marvin Harrison Jr.,ARI,135,False,
27,Jauan Jennings,SFO,134,False,
28,DeVonta Smith,PHI,131,False,
29,Jakobi Meyers,LVR,131,False,
30,Rashod Bateman,BAL,130,False,
31,Darnell Mooney,ATL,129,False,
32,Puka Nacua,LAR,128,False,
33,Xavier Worthy,KAN,128,False,
34,D.K. Metcalf,SEA,125,False,
35,Alec Pierce,IND,124,False,
36,Quentin Johnston,LAC,120,False,
37,Keenan Allen,CHI,114,False,
38,Josh Downs,IND,112,False,
39,Cooper Kupp,LAR,108,False,
40,Khalil Shakir,BUF,107,False,
41,George Pickens,PIT,105,False,
42,Nick Westbrook-Ikhine,TEN,104,False,
43,Deebo Samuel,SFO,103,False,
44,Jalen Tolbert,DAL,103,False,
45,Jalen McMillan,TAM,98,False,
46,Michael Pittman Jr.,IND,97,False,
47,Demarcus Robinson,LAR,93,False,
48,Adam Thielen,CAR,92,False,
49,Jaylen Waddle,MIA,92,False,
50,Rome Odunze,CHI,91,False,
51,Marvin Mims,DEN,91,False,
52,DeAndre Hopkins,2TM,91,False,
53,Wan'Dale Robinson,NYG,90,False,
54,Tank Dell,HOU,89,False,
55,Allen Lazard,NYJ,89,False,
56,Chris Godwin,TAM,88,False,
57,Romeo Doubs,GNB,86,False,
58,Andrei Iosivas,CIN,84,False,
59,Calvin Austin III,PIT,83,False,
60,Keon Coleman,BUF,83,False,
61,Demario Douglas,NWE,82,False,
62,Tre Tucker,LVR,82,False,
63,Ray-Ray McCloud,ATL,79,False,
64,Kayshon Boutte,NWE,79,False,
65,Amari Cooper,2TM,79,False,
66,Michael Wilson,ARI,78,False,
67,Xavier Legette,CAR,76,False,
68,Christian Watson,GNB,76,False,
69,Stefon Diggs,HOU,75,False,
70,Jalen Nailor,MIN,75,False,
71,KaVontae Turpin,DAL,73,False,
72,Tyler Lockett,SEA,72,False,
73,Dontayvion Wicks,GNB,72,False,
74,Darius Slayton,NYG,71,False,
75,Josh Palmer,LAC,68,False,
76,Mack Hollins,BUF,68,False,
77,Olamide Zaccheaus,WAS,67,False,
78,Marquez Valdes-Scantling,2TM,66,False,
79,Devaughn Vele,DEN,66,False,
80,Parker Washington,JAX,65,False,
81,Ricky Pearsall,SFO,63,False,
82,Jalen Coker,CAR,61,False,
83,Elijah Moore,CLE,60,False,
84,Rashid Shaheed,NOR,60,False,
85,Tim Patrick,DET,59,False,
86,Tutu Atwell,LAR,57,False,
87,Diontae Johnson,3TM,56,False,
88,David Moore,CAR,53,False,
89,Greg Dortch,ARI,53,False,
90,Noah Brown,WAS,51,False,
91,Cedric Tillman,CLE,51,False,
92,Sterling Shepard,TAM,48,False,
93,Chris Olave,NOR,45,False,
94,Brandin Cooks,DAL,44,False,
95,Christian Kirk,JAX,44,False,
96,Rashee Rice,KAN,41,False,
97,Justin Watson,KAN,41,False,
98,Van Jefferson,PIT,40,False,
99,Kalif Raymond,DET,40,False,
100,Troy Franklin,DEN,39,False,
